Trait,Cat
varmx_se_total_euclid_LDLD_vel,Spread_of_Shape
varmx_se_total_euclid_SDLD_acc,Spread_of_Shape
varmx_se_total_euclid_SDSD_acc,Spread_of_Shape
varmx_se_total_euclid_LDLD_acc,Spread_of_Shape
varmx_PC1_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_SDSD_ori_spread,Spread_of_Shift
varmx_PC1_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_LDLD_ori_spread,Spread_of_Shift
varmx_PC1_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_SDSD_vel_spread,Spread_of_Shift
varmx_PC1_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_LDLD_vel_spread,Spread_of_Shift
varmx_PC1_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_SDSD_acc_spread,Spread_of_Shift
varmx_PC1_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
varmx_PC2_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
varmx_PC3_diff_SDLD_LDLD_acc_spread,Spread_of_Shift
varmx_SDLD_PC1_center,Shape
varmx_SDLD_PC2_center,Shape
varmx_SDLD_PC3_center,Shape
varmx_SDLD_PC1_center_vel,Shape
varmx_SDLD_PC2_center_vel,Shape
varmx_SDLD_PC3_center_vel,Shape
varmx_SDLD_PC1_center_acc,Shape
varmx_SDLD_PC1_mean_dsit,Spread_of_Shape
varmx_SDLD_PC2_mean_dsit,Spread_of_Shape
varmx_SDLD_PC3_mean_dsit,Spread_of_Shape
varmx_SDLD_PC1_mean_dsit_vel,Spread_of_Shape
varmx_SDLD_PC2_mean_dsit_vel,Spread_of_Shape
varmx_SDLD_PC3_mean_dsit_vel,Spread_of_Shape
